symbol,name,sector,in_sp500,in_nasdaq100
PCAR,Paccar,Industrials,true,true
PCG,PG&E Corporation,Utilities,true,false
PDD,PDD Holdings,Information Technology,false,true
PEG,Public Service Enterprise Group,Utilities,true,false
PEP,PepsiCo,Consumer Staples,true,true
PFE,Pfizer,Health Care,true,false
PFG,Principal Financial Group,Financials,true,false
PG,Procter & Gamble,Consumer Staples,true,false
PGR,Progressive Corporation,Financials,true,false
PH,Parker Hannifin,Industrials,true,false
PHM,PulteGroup,Consumer Discretionary,true,false
PKG,Packaging Corporation of America,Materials,true,false
PLD,Prologis,Real Estate,true,false
PLTR,Palantir Technologies,Information Technology,true,true
PM,Philip Morris International,Consumer Staples,true,false
PNC,PNC Financial Services,Financials,true,false
PNR,Pentair,Industrials,true,false
PNW,Pinnacle West Capital,Utilities,true,false
PODD,Insulet Corporation,Health Care,true,false
PPG,PPG Industries,Materials,true,false
PPL,PPL Corporation,Utilities,true,false
PRU,Prudential Financial,Financials,true,false
PSA,Public Storage,Real Estate,true,false
PSKY,Paramount Skydance Corporation,Communication Services,true,false
PSX,Phillips 66,Energy,true,false
PTC,PTC Inc.,Information Technology,true,false
PWR,Quanta Services,Industrials,true,false
PYPL,PayPal,Financials,true,true
Q,Qnity Electronics,Information Technology,true,false
QCOM,Qualcomm,Information Technology,true,true
RCL,Royal Caribbean Group,Consumer Discretionary,true,false
REG,Regency Centers,Real Estate,true,false
REGN,Regeneron Pharmaceuticals,Health Care,true,true
RF,Regions Financial Corporation,Financials,true,false
RJF,Raymond James Financial,Financials,true,false
RKLB,Rocket Lab,Industrials,false,true
RL,Ralph Lauren Corporation,Consumer Discretionary,true,false
RMD,ResMed,Health Care,true,false
ROK,Rockwell Automation,Industrials,true,false
ROL,"Rollins, Inc.",Industrials,true,false
ROP,Roper Technologies,Information Technology,true,true
ROST,Ross Stores,Consumer Discretionary,true,true
RSG,Republic Services,Industrials,true,false
RTX,RTX Corporation,Industrials,true,false
RVTY,Revvity,Health Care,true,false
SBAC,SBA Communications,Real Estate,true,false
SBUX,Starbucks,Consumer Discretionary,true,true
SCHW,Charles Schwab Corporation,Financials,true,false
SHOP,Shopify,Information Technology,false,true
SHW,Sherwin-Williams,Materials,true,false
SJM,J.M. Smucker Company (The),Consumer Staples,true,false
SLB,Schlumberger,Energy,true,false
SMCI,Supermicro,Information Technology,true,false
SNA,Snap-on,Industrials,true,false
SNDK,Sandisk,Information Technology,true,true
SNPS,Synopsys,Information Technology,true,true
SO,Southern Company,Utilities,true,false
SOLV,Solventum,Health Care,true,false
SPG,Simon Property Group,Real Estate,true,false
SPGI,S&P Global,Financials,true,false
SRE,Sempra,Utilities,true,false
STE,Steris,Health Care,true,false
STLD,Steel Dynamics,Materials,true,false
STT,State Street Corporation,Financials,true,false
STX,Seagate Technology,Information Technology,true,true
STZ,Constellation Brands,Consumer Staples,true,false
SW,Smurfit Westrock,Materials,true,false
